filename,old_location,new_location,recognized_category,confidence
other1.jpg,demo-html-css\assets\homepage\other1.jpg,demo-html-css\assets\onzeker\other1.jpg,onzeker,0.2865915894508362
other10.jpg,demo-html-css\assets\homepage\other10.jpg,demo-html-css\assets\onzeker\other10.jpg,onzeker,0.26285645365715027
other11.jpg,demo-html-css\assets\homepage\other11.jpg,demo-html-css\assets\onzeker\other11.jpg,onzeker,0.29732751846313477
other12.jpg,demo-html-css\assets\homepage\other12.jpg,demo-html-css\assets\onzeker\other12.jpg,onzeker,0.33132535219192505
other13.jpg,demo-html-css\assets\homepage\other13.jpg,demo-html-css\assets\onzeker\other13.jpg,onzeker,0.32247430086135864
other14.jpg,demo-html-css\assets\homepage\other14.jpg,demo-html-css\assets\onzeker\other14.jpg,onzeker,0.2687108814716339
other15.jpg,demo-html-css\assets\homepage\other15.jpg,demo-html-css\assets\onzeker\other15.jpg,onzeker,0.26548850536346436
other16.jpg,demo-html-css\assets\homepage\other16.jpg,demo-html-css\assets\onzeker\other16.jpg,onzeker,0.34994184970855713
other17.jpg,demo-html-css\assets\homepage\other17.jpg,demo-html-css\assets\onzeker\other17.jpg,onzeker,0.24609613418579102
other18.jpg,demo-html-css\assets\homepage\other18.jpg,demo-html-css\assets\onzeker\other18.jpg,onzeker,0.3080359101295471
other19.jpg,demo-html-css\assets\homepage\other19.jpg,demo-html-css\assets\onzeker\other19.jpg,onzeker,0.24668273329734802
other2.jpg,demo-html-css\assets\homepage\other2.jpg,demo-html-css\assets\onzeker\other2.jpg,onzeker,0.2528465986251831
other20.jpg,demo-html-css\assets\homepage\other20.jpg,demo-html-css\assets\onzeker\other20.jpg,onzeker,0.22039279341697693
other21.jpg,demo-html-css\assets\homepage\other21.jpg,demo-html-css\assets\onzeker\other21.jpg,onzeker,0.25889793038368225
other22.jpg,demo-html-css\assets\homepage\other22.jpg,demo-html-css\assets\onzeker\other22.jpg,onzeker,0.21457451581954956
other23.jpg,demo-html-css\assets\homepage\other23.jpg,demo-html-css\assets\onzeker\other23.jpg,onzeker,0.29943785071372986
other24.jpg,demo-html-css\assets\homepage\other24.jpg,demo-html-css\assets\onzeker\other24.jpg,onzeker,0.2443910539150238
other25.jpg,demo-html-css\assets\homepage\other25.jpg,demo-html-css\assets\onzeker\other25.jpg,onzeker,0.2874072790145874
other26.jpg,demo-html-css\assets\homepage\other26.jpg,demo-html-css\assets\bomen\palmbomen\cycas\other26.jpg,cycas revoluta,0.38817209005355835
other27.jpg,demo-html-css\assets\homepage\other27.jpg,demo-html-css\assets\onzeker\other27.jpg,onzeker,0.2958523631095886
other28.jpg,demo-html-css\assets\homepage\other28.jpg,demo-html-css\assets\onzeker\other28.jpg,onzeker,0.30574774742126465
other29.jpg,demo-html-css\assets\homepage\other29.jpg,demo-html-css\assets\onzeker\other29.jpg,onzeker,0.294503778219223
other3.jpg,demo-html-css\assets\homepage\other3.jpg,demo-html-css\assets\onzeker\other3.jpg,onzeker,0.29016175866127014
other30.jpg,demo-html-css\assets\homepage\other30.jpg,demo-html-css\assets\bomen\palmbomen\trachycarpus\other30.jpg,trachycarpus palm,0.36262720823287964
other31.jpg,demo-html-css\assets\homepage\other31.jpg,demo-html-css\assets\onzeker\other31.jpg,onzeker,0.34351807832717896
other32.jpg,demo-html-css\assets\homepage\other32.jpg,demo-html-css\assets\bomen\palmbomen\trachycarpus\other32.jpg,trachycarpus palm,0.35748815536499023
other33.jpg,demo-html-css\assets\homepage\other33.jpg,demo-html-css\assets\bomen\palmbomen\trachycarpus\other33.jpg,trachycarpus palm,0.35364383459091187
other34.jpg,demo-html-css\assets\homepage\other34.jpg,demo-html-css\assets\bomen\palmbomen\trachycarpus\other34.jpg,trachycarpus palm,0.3644389510154724
other35.jpg,demo-html-css\assets\homepage\other35.jpg,demo-html-css\assets\onzeker\other35.jpg,onzeker,0.341448038816452
other36.jpg,demo-html-css\assets\homepage\other36.jpg,demo-html-css\assets\onzeker\other36.jpg,onzeker,0.24823959171772003
other37.jpg,demo-html-css\assets\homepage\other37.jpg,demo-html-css\assets\onzeker\other37.jpg,onzeker,0.2858861982822418
other38.jpg,demo-html-css\assets\homepage\other38.jpg,demo-html-css\assets\onzeker\other38.jpg,onzeker,0.260376513004303
other39.jpg,demo-html-css\assets\homepage\other39.jpg,demo-html-css\assets\onzeker\other39.jpg,onzeker,0.31236732006073
other4.jpg,demo-html-css\assets\homepage\other4.jpg,demo-html-css\assets\onzeker\other4.jpg,onzeker,0.23852384090423584
other40.jpg,demo-html-css\assets\homepage\other40.jpg,demo-html-css\assets\onzeker\other40.jpg,onzeker,0.3226141333580017
other41.jpg,demo-html-css\assets\homepage\other41.jpg,demo-html-css\assets\onzeker\other41.jpg,onzeker,0.2789863049983978
other42.jpg,demo-html-css\assets\homepage\other42.jpg,demo-html-css\assets\onzeker\other42.jpg,onzeker,0.27873915433883667
other43.jpg,demo-html-css\assets\homepage\other43.jpg,demo-html-css\assets\onzeker\other43.jpg,onzeker,0.21868067979812622
other44.jpg,demo-html-css\assets\homepage\other44.jpg,demo-html-css\assets\onzeker\other44.jpg,onzeker,0.28361502289772034
other45.jpg,demo-html-css\assets\homepage\other45.jpg,demo-html-css\assets\onzeker\other45.jpg,onzeker,0.23809733986854553
other46.jpg,demo-html-css\assets\homepage\other46.jpg,demo-html-css\assets\onzeker\other46.jpg,onzeker,0.24819087982177734
other47.jpg,demo-html-css\assets\homepage\other47.jpg,demo-html-css\assets\onzeker\other47.jpg,onzeker,0.28740108013153076
other5.jpg,demo-html-css\assets\homepage\other5.jpg,demo-html-css\assets\onzeker\other5.jpg,onzeker,0.2365780472755432
other6.jpg,demo-html-css\assets\homepage\other6.jpg,demo-html-css\assets\onzeker\other6.jpg,onzeker,0.2378663718700409
other7.jpg,demo-html-css\assets\homepage\other7.jpg,demo-html-css\assets\onzeker\other7.jpg,onzeker,0.23855800926685333
other8.jpg,demo-html-css\assets\homepage\other8.jpg,demo-html-css\assets\onzeker\other8.jpg,onzeker,0.26044997572898865
other9.jpg,demo-html-css\assets\homepage\other9.jpg,demo-html-css\assets\onzeker\other9.jpg,onzeker,0.2775578796863556
product1.jpg,demo-html-css\assets\homepage\product1.jpg,demo-html-css\assets\onzeker\product1.jpg,onzeker,0.26340341567993164
